tender_id,title,url,start_date,end_date,end_time,region,city,price,categories,category_urls
85583371,Аренда контейнеров / бытовок / пухто,https://rostender.info/region/moskva-gorod/85583371-tender-arenda-kontejnerov-bytovok-puhto, 02.08.25,11.08.2025,,Москва город,г. Москва,—,"['Мобильные металлические и бетонные сооружения, Мобильные здания']",['https://rostender.info/tendery-mobilnye-metallicheskie-i-betonnye-soorujeniya-mobilnye-zdaniya']
85583370,Инструмент ручной,https://rostender.info/region/moskva-gorod/85583370-tender-instrument-ruchnoj, 02.08.25,06.08.2025,,Москва город,г. Москва,—,['Инструменты'],['https://rostender.info/tendery-instrumenty']
85583366,"Выполнение работ по ремонту системы отопления в доме культуры Созвездие , расположенного по адресу: Воронежская обл. , г. Россошь, ул. Ленина, 2",https://rostender.info/region/voronejskaya-oblast/rossosh/85583366-tender-vypolnenie-rabot-po-remontu-sistemy-otopleniya-v-dome-kultury-sozvezdie-raspolojennogo-po-adresu-voronejskaya-obl-g-rossosh-ul, 02.08.25,11.08.2025,08:00,Воронежская область,г. Россошь,1 749 299 ₽,"['Сантехнические работы, Внутренние сети водо-, тепло-, газо-снабжения и канализации']",['https://rostender.info/tendery-santehnicheskie-raboty-vnutrennie-seti-vodo--teplo--gazo-snabjeniya-i-kanalizacii']
85583377,Монтаж школьных досок и сборку мебели для интерната,https://rostender.info/region/saha-yakutiya-respublika/yakutsk/85583377-tender-montaj-shkolnyh-dosok-i-sborku-mebeli-dlya-internata, 02.08.25,03.08.2025,17:00,Саха /Якутия/ республика,г. Якутск,200 000 ₽,"['Мебель, Элементы интерьера']",['https://rostender.info/tendery-mebel-elementy-interera']
85583376,Продукты питания,https://rostender.info/region/sverdlovskaya-oblast/nijnyaya-tura/85583376-tender-produkty-pitaniya, 02.08.25,08.08.2025,10:00,Свердловская область,г. Нижняя Тура,58 425 ₽,"['Крупы, Макароны, Хлебобулочные изделия, Крупяная и макаронная продукция, Зерно, Злаки', 'Чай, Кофе, Какао, Соль, Сахар, Специи, Пищевые добавки, Консервы, Бакалея']","['https://rostender.info/tendery-krupy-makarony-hlebobulochnye-izdeliya-krupyanaya-i-makaronnaya-produkciya-zerno-zlaki', 'https://rostender.info/tendery-chaj-kofe-kakao-sol-sahar-specii-pishchevye-dobavki-konservy-bakaleya']"
85583375,Поставка витрины,https://rostender.info/region/volgogradskaya-oblast/volgograd/85583375-tender-postavka-vitriny, 02.08.25,06.08.2025,11:30,Волгоградская область,Волгоград,26 916 ₽,"['Торговое и складское оборудование, Оборудование для хранения']",['https://rostender.info/tendery-torgovoe-i-skladskoe-oborudovanie-oborudovanie-dlya-hraneniya']
85583368,Лакокрасочные материалы,https://rostender.info/region/moskva-gorod/85583368-tender-lakokrasochnye-materialy, 02.08.25,04.08.2025,,Москва город,г. Москва,—,"['Краски, Лаки, Клеи']",['https://rostender.info/tendery-kraski-laki-klei']
85583369,Клеи,https://rostender.info/region/moskva-gorod/85583369-tender-klei, 02.08.25,06.08.2025,,Москва город,г. Москва,—,"['Краски, Лаки, Клеи']",['https://rostender.info/tendery-kraski-laki-klei']
85583367,"Оказание услуг по составлению сценарного плана, написание сценария и постановка новогоднего театрализованного представления",https://rostender.info/region/volgogradskaya-oblast/volgograd/85583367-tender-okazanie-uslug-po-sostavleniyu-scenarnogo-plana-napisanie-scenariya-i-postanovka-novogodnego-teatralizovannogo, 02.08.25,06.08.2025,12:30,Волгоградская область,Волгоград,60 000 ₽,"['Организация концертов, праздников,билеты на концерты, показы фильмов и праздники']",['https://rostender.info/tendery-organizaciya-koncertov-prazdnikovbilety-na-koncerty-pokazy-filmov-i-prazdniki']
85583365,Поставка лекарственных препаратов для медицинского применения,https://rostender.info/region/kaliningradskaya-oblast/kaliningrad/85583365-tender-postavka-lekarstvennyh-preparatov-dlya-medicinskogo-primeneniya, 02.08.25,04.08.2025,14:00,Калининградская область,г. Калининград,—,['Фармацевтические и лекарственные средства'],['https://rostender.info/tendery-farmacevticheskie-i-lekarstvennye-sredstva']
85583363,"Поставка медицинского изделия (кресло гинекологическое), ввод в эксплуатацию медицинского изделия, обучение правилам эксплуатации специалистов, эксплуатирующих медицинское изделие",https://rostender.info/region/kurganskaya-oblast/kurgan/85583363-tender-postavka-medicinskogo-izdeliya-kreslo-ginekologicheskoe-vvod-v-ekspluataciyu-medicinskogo-izdeliya-obuchenie-pravilam, 02.08.25,06.08.2025,06:00,Курганская область,Курган,75 900 ₽,"['Медицинское оборудование, Медицинская техника, Медицинский инструмент', 'Ремонт и обслуживание медицинской техники', 'Услуги в области образования и повышения квалификации']","['https://rostender.info/tendery-medicinskoe-oborudovanie-medicinskaya-tehnika-medicinskij-instrument', 'https://rostender.info/tendery-remont-i-obslujivanie-medicinskoj-tehniki', 'https://rostender.info/tendery-uslugi-v-oblasti-obrazovaniya-i-povysheniya-kvalifikacii']"
85583362,"Поставка медицинского изделия (стол манипуляционный), ввод в эксплуатацию медицинского изделия, обучение правилам эксплуатации специалистов, эксплуатирующих медицинское изделие",https://rostender.info/region/kurganskaya-oblast/kurgan/85583362-tender-postavka-medicinskogo-izdeliya-stol-manipulyacionnyj-vvod-v-ekspluataciyu-medicinskogo-izdeliya-obuchenie-pravilam-ekspluatacii, 02.08.25,06.08.2025,06:00,Курганская область,Курган,24 000 ₽,['Услуги в области образования и повышения квалификации'],['https://rostender.info/tendery-uslugi-v-oblasti-obrazovaniya-i-povysheniya-kvalifikacii']
85583364,"Поставка медицинского изделия (столик инструментальный), ввод в эксплуатацию медицинского изделия, обучение правилам эксплуатации специалистов, эксплуатирующих медицинское изделие",https://rostender.info/region/kurganskaya-oblast/kurgan/85583364-tender-postavka-medicinskogo-izdeliya-stolik-instrumentalnyj-vvod-v-ekspluataciyu-medicinskogo-izdeliya-obuchenie-pravilam-ekspluatacii, 02.08.25,06.08.2025,06:00,Курганская область,Курган,24 900 ₽,"['Медицинская  мебель', 'Ремонт и обслуживание медицинской техники', 'Услуги в области образования и повышения квалификации']","['https://rostender.info/tendery-medicinskaya--mebel', 'https://rostender.info/tendery-remont-i-obslujivanie-medicinskoj-tehniki', 'https://rostender.info/tendery-uslugi-v-oblasti-obrazovaniya-i-povysheniya-kvalifikacii']"
85583356,Метизы; Инструмент ручной; Ручной измерительный инструмент; Электробензоинструмент,https://rostender.info/region/moskva-gorod/85583356-tender-metizy-instrument-ruchnoj-ruchnoj-izmeritelnyj-instrument-elektrobenzoinstrument, 02.08.25,04.08.2025,,Москва город,г. Москва,—,"['Полимерные, фторопластовые и другие пластиковые изделия технического назначения']",['https://rostender.info/tendery-polimernye-ftoroplastovye-i-drugie-plastikovye-izdeliya-tehnicheskogo-naznacheniya']
85583360,"Выполнение работ по проведению текущего ремонта зданий и (или) сооружений по адресу: г. Москва, ул 5 -я Пакровая, д. 58",https://rostender.info/region/moskva-gorod/85583360-tender-vypolnenie-rabot-po-provedeniyu-tekushchego-remonta-zdanij-i-ili-soorujenij-po-adresu-g-moskva-ul-5-ya-pakrovaya-d-58, 02.08.25,11.08.2025,09:00,Москва город,г. Москва,23 330 642 ₽,['Ремонт зданий и сооружений'],['https://rostender.info/tendery-remont-zdanij-i-soorujenij']
85583354,"Ремонт территории муниципального образовательного учреждения средней общеобразовательной школы"" ОБРАЗОВАТЕЛЬНЫЙ КОМПЛЕКС ""Флагман"" (Центр развития ребенка - детский сад №71) по адресу: г. Рыбинск, ул. Академика Губкина, д. 27а",https://rostender.info/region/yaroslavskaya-oblast/rybinsk/85583354-tender-remont-territorii-municipalnogo-obrazovatelnogo-uchrejdeniya-srednej-obshcheobrazovatelnoj-shkoly-obrazovatelnyj-kompleks, 02.08.25,05.08.2025,08:00,Ярославская область,г. Рыбинск,4 455 171 ₽,['Благоустройство и озеленение'],['https://rostender.info/tendery-blagoustrojstvo-i-ozelenenie']
85583353,Электроустановочная продукция,https://rostender.info/region/donetskaya-narodnaya-respublika/donetsk/85583353-tender-elektroustanovochnaya-produkciya, 02.08.25,08.08.2025,,Донецкая Народная Республика,Респ. Донецкая Народная,—,"['Электрическая распределительная и регулирующая аппаратура, Электроустановочные изделия, Электронные компоненты']",['https://rostender.info/tendery-elektricheskaya-raspredelitelnaya-i-reguliruyushchaya-apparatura-elektroustanovochnye-izdeliya-elektronnye-komponenty']
85583359,Оказание услуг по заправке картриджей для оргтехники,https://rostender.info/region/sverdlovskaya-oblast/ekaterinburg/85583359-tender-okazanie-uslug-po-zapravke-kartridjej-dlya-orgtehniki, 02.08.25,02.08.2025,20:27,Свердловская область,г. Екатеринбург,43 100 ₽,"['Ремонт и обслуживание офисной и вычислительной техники и оборудования, Заправка картриджей']",['https://rostender.info/tendery-remont-i-obslujivanie-ofisnoj-i-vychislitelnoj-tehniki-i-oborudovaniya-zapravka-kartridjej']
85583358,Поставка товара,https://rostender.info/region/permskij-kraj/85583358-tender-postavka-tovara, 02.08.25,05.08.2025,09:00,Пермский край,"Пермский район,  деревня Кондратово",8 497 ₽,['Канцелярские принадлежности'],['https://rostender.info/tendery-kancelyarskie-prinadlejnosti']
85583357,Поставка продуктов питания,https://rostender.info/region/novosibirskaya-oblast/novosibirsk/85583357-tender-postavka-produktov-pitaniya, 02.08.25,04.08.2025,14:00,Новосибирская область,г. Новосибирск,140 943 ₽,"['Рыба, Морепродукты, Продукция рыболовства', 'Птица, Яйцо, Продукция птицеводства']","['https://rostender.info/tendery-ryba-moreprodukty-produkciya-rybolovstva', 'https://rostender.info/tendery-ptica-yajco-produkciya-pticevodstva']"
85583347,Оказание услуг по адаптации и сопровождению экземпляра Систем КонсультантПлюс серии МСВУД для нужд ГлавУпДК при МИД России,https://rostender.info/tender/85583347, 02.08.25,08.08.2025,11:00,Московская область,"г. Москва;г. Красногорск,  рабочий поселок Нахабино;Конаковский район,  поселок городского типа Новозавидовский;Конаковский район,  деревня Шоша",3 575 195 ₽,"['Программное обеспечение (юридическое, бухгалтерское, информационно-справочные системы). Сопровождение']",['https://rostender.info/tendery-programmnoe-obespechenie-yuridicheskoe-buhgalterskoe-informacionno-spravochnye-sistemy-soprovojdenie']
85583355,Поставка товара,https://rostender.info/region/permskij-kraj/85583355-tender-postavka-tovara, 02.08.25,05.08.2025,09:00,Пермский край,"Пермский район,  деревня Кондратово",105 151 ₽,['Канцелярские принадлежности'],['https://rostender.info/tendery-kancelyarskie-prinadlejnosti']
85583352,Электроды,https://rostender.info/region/moskva-gorod/85583352-tender-elektrody, 02.08.25,09.08.2025,,Москва город,г. Москва,—,"['Оборудование для сварки и спайки, его обслуживание. Электроды']",['https://rostender.info/tendery-oborudovanie-dlya-svarki-i-spajki-ego-obslujivanie-elektrody']
85583342,"Поставка расходных материалов (Р-17, лот 4)",https://rostender.info/region/moskovskaya-oblast/odincovo/85583342-tender-postavka-rashodnyh-materialov-r-17-lot-4, 02.08.25,12.08.2025,10:00,Московская область,Город Одинцово,1 055 750 ₽,"['Медицинские расходные материалы, Средства реабилитации, Одноразовый медицинский инструмент']",['https://rostender.info/tendery-medicinskie-rashodnye-materialy-sredstva-reabilitacii-odnorazovyj-medicinskij-instrument']
85583340,Поставка звукового оборудования для нужд МБУ Колпашевский молодёжный центр,https://rostender.info/region/tomskaya-oblast/kolpashevo/85583340-tender-postavka-zvukovogo-oborudovaniya-dlya-nujd-mbu-kolpashevskij-molodejnyj-centr, 02.08.25,08.08.2025,04:00,Томская область,г. Колпашево,783 762 ₽,"['Аудио-, Видео-, Фото-техника, Оборудование для презентаций и показов. Монтаж и обслуживание']",['https://rostender.info/tendery-audio--video--foto-tehnika-oborudovanie-dlya-prezentacij-i-pokazov-montaj-i-obslujivanie']
85583341,Поставка звукового и музыкального оборудования для нужд МБУ Колпашевский молодёжный центр,https://rostender.info/region/tomskaya-oblast/kolpashevo/85583341-tender-postavka-zvukovogo-i-muzykalnogo-oborudovaniya-dlya-nujd-mbu-kolpashevskij-molodejnyj-centr, 02.08.25,08.08.2025,04:00,Томская область,г. Колпашево,656 046 ₽,"['Аудио-, Видео-, Фото-техника, Оборудование для презентаций и показов. Монтаж и обслуживание']",['https://rostender.info/tendery-audio--video--foto-tehnika-oborudovanie-dlya-prezentacij-i-pokazov-montaj-i-obslujivanie']
85583351,ЭА. 25-957/2-012Д655350 Поставка изделий медицинского назначения,https://rostender.info/region/kabardino-balkarskaya-respublika/nalchik/85583351-tender-ea25-9572-012d655350-postavka-izdelij-medicinskogo-naznacheniya, 02.08.25,11.08.2025,09:00,Кабардино-Балкарская республика,г. Нальчик,760 427 ₽,"['Медицинские расходные материалы, Средства реабилитации, Одноразовый медицинский инструмент']",['https://rostender.info/tendery-medicinskie-rashodnye-materialy-sredstva-reabilitacii-odnorazovyj-medicinskij-instrument']
